canonical_identity_key,source_frames,source_ids,citation,species,metadata_layers,sf06_responses,land_use_factors,sf05_title_method_hints,existing_egwee_programmes,screen_class,screen_action,screening_status,outcome_opened
SF05:71,SF05,SF05:71,"Côrtes, M.C., Uriarte, M., Lemes, M.R., Gribel, R., John Kress, W., Smouse, P.E., Bruna, E.M., 2013. Low plant density enhances gene dispersal in the Amazonian understory herb Heliconia acuminata. Mol. Ecol. 22, 5716–5729. https://doi.org/10.1111/mec.12495",Heliconia acuminata,C;D;G_adult,,,C_screen;D_screen;G_adult_FSGS,,other_multilayer_metadata_hint,screen_after_primary_if_queue,pending_outcome_blind_design_screen,no
SF05:73,SF05,SF05:73,"Dering, M., Sękiewicz, K., Iszkuło, G., Chojnacka, A., Tomaszewski, D., Pers-Kamczyc, E., Karolewski, P., 2018. Spatial genetic structure and clonal structure of Prunus serotina during invasive spread. Silva Fenn. 52, 1–21. https://doi.org/10.14214/sf.9987",Prunus serotina,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:74,SF05,SF05:74,"Gigant, R.L., De Bruyn, A., M’sa, T., Viscardi, G., Gigord, L., Gauvin-Bialecki, A., Pailler, T., Humeau, L., Grisoni, M., Besse, P., 2016. Combining pollination ecology and fine-scale spatial genetic structure analysis to unravel the reproductive strategy of an insular threatened orchid. South African J. Bot. 105, 25–35. https://doi.org/10.1016/j.sajb.2016.02.205",Vanilla humblotii,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:76,SF05,SF05:76,"Ismail, S.A., Ghazoul, J., Ravikanth, G., Uma Shaanker, R., Kushalappa, C.G., Kettle, C.J., 2012. Does long-distance pollen dispersal preclude inbreeding in tropical trees? Fragmentation genetics of Dysoxylum malabaricum in an agro-forest landscape. Mol. Ecol. 21, 5484–5496. https://doi.org/10.1111/mec.12054",Dysoxylum malabaricum,C;G_adult,,,C_screen;G_adult_FSGS,,other_multilayer_metadata_hint,screen_after_primary_if_queue,pending_outcome_blind_design_screen,no
SF05:77,SF05,SF05:77,"Pandey, M., Rajora, O.P., 2012. Higher fine-scale genetic structure in peripheral than in core populations of a long-lived and mixed-mating conifer - Eastern white cedar (Thuja occidentalis L.). BMC Evol. Biol. 12. https://doi.org/10.1186/1471-2148-12-48",Thuja occidentalis,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:79,SF05,SF05:79,"Pometti, C., Bessega, C., Cialdella, A., Ewens, M., Saidman, B., Vilardi, J., 2018. Spatial genetic structure within populations and management implications of the South American species Acacia aroma (Fabaceae). PLoS One 13, 1–14. https://doi.org/10.1371/journal.pone.0192107",Acacia aroma,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:8,SF05,SF05:8,"Cloutier, D., Hardy, O.J., Caron, H., Ciampi, A.Y., Degen, B., Kanashiro, M., Schoen, D.J., 2007. Low Inbreeding and High Pollen Dispersal Distances in Populations of Two Amazonian Forest Tree Species. Biotropica 39, 406–415. https://doi.org/10.1111/j.1744-7429.2007.00266.x",Carapa guianensis; Sextonia rubra,C;G_adult,,,C_screen;G_adult_FSGS,,other_multilayer_metadata_hint,screen_after_primary_if_queue,pending_outcome_blind_design_screen,no
SF05:80,SF05,SF05:80,"Vaughan, S.P., Cottrell, J.E., Moodley, D.J., Connolly, T., Russell, K., 2007. Distribution and fine-scale spatial-genetic structure in British wild cherry (Prunus avium L.). Heredity (Edinb). 98, 274–283. https://doi.org/10.1038/sj.hdy.6800935",Prunus avium,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:82,SF05,SF05:82,"Morgan, E.J., Kaiser-Bunbury, C.N., Edwards, P.J., Fleischer-Dogley, F., Kettle, C.J., 2017. Keeping it in the family: strong fine-scale genetic structure and inbreeding in Lodoicea maldivica, the largest-seeded plant in the world. Conserv. Genet. 18, 1317–1329. https://doi.org/10.1007/s10592-017-0982-2 | Morgan, E.J., Kaiser-Bunbury, C.N., Edwards, P.J., Fleischer-Dogley, F., Kettle, C.J., 2017. Keeping it in the family: strong fine-scale genetic structure and inbreeding in Lodoicea maldivica, the largest-seeded plant in the world. Conserv. Genet. 18, 1317–1329. https://doi.org/10.1007/s10592-017-0982-3 | Morgan, E.J., Kaiser-Bunbury, C.N., Edwards, P.J., Fleischer-Dogley, F., Kettle, C.J., 2017. Keeping it in the family: strong fine-scale genetic structure and inbreeding in Lodoicea maldivica, the largest-seeded plant in the world. Conserv. Genet. 18, 1317–1329. https://doi.org/10.1007/s10592-017-0982-4 | Morgan, E.J., Kaiser-Bunbury, C.N., Edwards, P.J., Fleischer-Dogley, F., Kettle, C.J., 2017. Keeping it in the family: strong fine-scale genetic structure and inbreeding in Lodoicea maldivica, the largest-seeded plant in the world. Conserv. Genet. 18, 1317–1329. https://doi.org/10.1007/s10592-017-0982-5",Lodoicea maldivica,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:83,SF05,SF05:83,"Browne, L., Karubian, J., 2018. Habitat loss and fragmentation reduce effective gene flow by disrupting seed dispersal in a neotropical palm. Mol. Ecol. 27, 3055–3069. https://doi.org/10.1111/mec.14765",Oenocarpus bataua,C;G_adult,,,C_screen;G_adult_FSGS,,other_multilayer_metadata_hint,screen_after_primary_if_queue,pending_outcome_blind_design_screen,no
SF05:84,SF05,SF05:84,"Mathiasen, P., Premoli, A.C., 2013. Fine-scale genetic structure of Nothofagus pumilio (lenga) at contrasting elevations of the altitudinal gradient. Genetica 141, 95–105. https://doi.org/10.1007/s10709-013-9709-6",Nothofagus pumilio,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:85,SF05,SF05:85,"Monthe, F.K., Hardy, O.J., Doucet, J.L., Loo, J., Duminil, J., 2017. Extensive seed and pollen dispersal and assortative mating in the rain forest tree Entandrophragma cylindricum (Meliaceae) inferred from indirect and direct analyses. Mol. Ecol. 26, 5279–5291. https://doi.org/10.1111/mec.14241",Entandrophragma cylindricum,C;G_adult,,,C_screen;G_adult_FSGS,,other_multilayer_metadata_hint,screen_after_primary_if_queue,pending_outcome_blind_design_screen,no
SF05:86,SF05,SF05:86,"Raabová, J., Van Rossum, F., Jacquemart, A.L., Raspé, O., 2015. Population size affects genetic diversity and fine-scale spatial genetic structure in the clonal distylous herb Menyanthes trifoliata. Perspect. Plant Ecol. Evol. Syst. 17, 193–200. https://doi.org/10.1016/j.ppees.2015.02.005",Menyanthes trifoliata,D;G_adult,,,D_screen;G_adult_FSGS,,other_multilayer_metadata_hint,screen_after_primary_if_queue,pending_outcome_blind_design_screen,no
SF05:87,SF05,SF05:87,"Octavio-Aguilar, P., Iglesias-Andreu, L.G., de Cáceres-González, F.F.N., Galván-Hernández, D.M., 2017. Fine-scale genetic structure of Zamia furfuracea: Variation with life-cycle stages. Int. J. Plant Sci. 178, 57–66. https://doi.org/10.1086/689200",Zamia furfuraceae,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:88,SF05,SF05:88,"Xu, N., Jiang, K., Biswas, S.R., Tong, X., Wang, R., Chen, X., 2019. Clone Configuration and Spatial Genetic Structure of Two Halophila ovalis Populations With Contrasting Internode Lengths. Front. Ecol. Evol. 7, 1–13. https://doi.org/10.3389/fevo.2019.00170",Halophila ovalis,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:9,SF05,SF05:9,"Dodd, R.S., Mayer, W., Nettel, A., Afzal-Rafii, Z., 2013. Clonal growth and fine-scale genetic structure in tanoak (Notholithocarpus densiflorus: Fagaceae). J. Hered. 104, 105–114. https://doi.org/10.1093/jhered/ess080",Notholithocarpus densiflorus,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:90,SF05,SF05:90,"Zuo, W., Song, W., Jin, Z., Li, J., 2015. Fine-scale spatial genetic structure of Glechoma longituba. Shengtai Xuebao/ Acta Ecol. Sin. 35, 5761–5768. https://doi.org/10.5846/stxb201312223001",Glechoma longituba,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:91,SF05,SF05:91,"Vandepitte, K., Roldán-Ruiz, I., Leus, L., Jacquemyn, H., Honnay, O., 2009. Canopy closure shapes clonal diversity and fine-scale genetic structure in the dioecious understorey perennial Mercurialis perennis. J. Ecol. 97, 404–414. https://doi.org/10.1111/j.1365-2745.2009.01484.x",Mercurialis perennis,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:92,SF05,SF05:92,"Jin, Y., He, T., Lu, B.R., 2006. Genetic spatial clustering: Significant implications for conservation of wild soybean (Glycine soja: Fabaceae). Genetica 128, 41–49. https://doi.org/10.1007/s10709-005-4823-8",Glycine soja,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:94,SF05,SF05:94,"Kettle, C.J., Hollingsworth, P.M., Burslem, D.F.R.P., Maycock, C.R., Khoo, E., Ghazoul, J., 2011. Determinants of fine-scale spatial genetic structure in three co-occurring rain forest canopy trees in Borneo. Perspect. Plant Ecol. Evol. Syst. 13, 47–56. https://doi.org/10.1016/j.ppees.2010.11.002",Parashorea tomentella; Shorea xanthophylla,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:96,SF05,SF05:96,"Ayre, D., Ottewell, K., Krauss, S., Whelan, RJ. 2009. Genetic structure of seedling cohorts following repeated wildfires in the fire-sensitive shrub Persoonia mollis ssp nectens. Journal of Ecology 97(4): 752-760. https://doi.org/10.1111/j.1365-2745.2009.01516.x",Persoonia mollis ssp nectens,G_adult;G_offspring,,,G_adult_FSGS;G_offspring_screen,,other_multilayer_metadata_hint,screen_after_primary_if_queue,pending_outcome_blind_design_screen,no
SF06:SF06P001,SF06,SF06:SF06P001,Abrahamczyk et al. (2021) Plant Ecology 222:613- 623,Centaurea_scabiosa,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,,,primary_if_fragmentation_design_screen,screen_title_abstract_methods_same_exposure_and_independent_unit,pending_outcome_blind_design_screen,no
SF06:SF06P002,SF06,SF06:SF06P002,Adriaens et al. (2009) Acta Oecologica 35:69- 82,Colchicum_autumnale,F,Female fitness,Habitat Fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P003,SF06,SF06:SF06P003,Aguilar & Galetto (2004) Oecologia 138:513- 520,Cestrum_parqui,F,Female fitness; Male fitness,Habitat Fragmentation; Habitat fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P004,SF06,SF06:SF06P004,"Aguilar (2005) PhD Thesis, National University of Córdoba Pp. 1- 169",Cestrum_parqui; Dicliptera_squarrosa; Geoffroea_decorticans; Heimia_salicifolia; Ipomoea_purpurea; Lycium_cestroides; Mandevilla_laxa; Mandevilla_pentlandiana; Porlieria_microphylla; Solanum_chenopodioides; Talinum_paniculatum; Vachellia_caven,F;I,Female fitness; Male fitness; Pollination,Habitat fragmentation; Habitat Fragmentation,,,primary_if_fragmentation_design_screen,screen_title_abstract_methods_same_exposure_and_independent_unit,pending_outcome_blind_design_screen,no
SF06:SF06P005,SF06,SF06:SF06P005,Aguilar et al. (2012) Biological Conservation 152:81- 89,Neltuma_caldenia,F,Female fitness,Habitat Fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P006,SF06,SF06:SF06P006,Ahmed et al. (2009) PNAS 106:20342- 20347,Ficus_sycomorus,F,Male fitness,Habitat fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P007,SF06,SF06:SF06P007,Aizen & Feinsinger (1994) Ecology 75:330- 351,Erythrostemon_gilliesii; Justicia_squarrosa; Lepismium_lumbricoides; Ligaria_cuneifolia; Mimosa_detinens; Neltuma_nigra; Opuntia_quimilo; Parkinsonia_praecox; Portulaca_umbraticola; Senegalia_praecox; Senna_aphylla; Tillandsia_ixioides; Vachellia_aroma; Vachellia_atramentaria; Vachellia_furcatispina; Vachellia_praecox,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,,ML020,existing_egwee_programme,do_not_recruit_as_new,linked_existing_no_new_recruitment,no
SF06:SF06P008,SF06,SF06:SF06P008,Albrecht et al. (2007) Journal of Applied Ecology 44:813- 822,Campanula_glomerata; Hypochaeris_radicata; Raphanus_raphanistrum; Raphanus_raphanistrum_subsp._sativus,F;I,Female fitness; Pollination,Agriculture,,,secondary_if_nonfragmentation_land_use,retain_context_not_primary_if_fragmentation_queue,retained_no_primary_design_screen_yet,no
SF06:SF06P009,SF06,SF06:SF06P009,Albrecht et al. (2009) PLoS One 4:e6751,Centaurea_jacea,F,Female fitness,Habitat Fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P010,SF06,SF06:SF06P010,Angoh et al. (2021) South African Journal of Botany 141:196- 199,Erica_discolor,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,,,primary_if_fragmentation_design_screen,screen_title_abstract_methods_same_exposure_and_independent_unit,pending_outcome_blind_design_screen,no
SF06:SF06P011,SF06,SF06:SF06P011,Ballesteros et al. (2013) Oryx 47:199- 202,Ononis_tridentata,F,Female fitness,Grazing,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P012,SF06,SF06:SF06P012,Barreto et al. (2018) Botanical Journal of the Linnean Society 187:319- 326,Justicia_aequilabris,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,,,primary_if_fragmentation_design_screen,screen_title_abstract_methods_same_exposure_and_independent_unit,pending_outcome_blind_design_screen,no
SF06:SF06P014,SF06,SF06:SF06P014,Berjano et al. (2013) Journal for Nature Conservation 21:334- 341,Convolvulus_lineatus,F,Female fitness,Habitat Fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P015,SF06,SF06:SF06P015,Bigger (1999) Nat Areas Journal 19:239- 244,Sericocarpus_rigidus,F,Female fitness,Habitat Fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P016,SF06,SF06:SF06P016,Bizoux et al. (2008) Plant Biology 10:684- 693,Viola_lutea_subsp._calaminaria,F,Female fitness,Habitat Fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P017,SF06,SF06:SF06P017,Bosch et al. (2002) Biol J Linn Soc 76:79- 90,Petrocoptis_montsicciana,F,Female fitness,Habitat Fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P018,SF06,SF06:SF06P018,Bossuyt (2007) Conservation Biology 21:832- 841,Parnassia_palustris,F,Female fitness,Habitat Fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P019,SF06,SF06:SF06P019,Braun et al. (2012) Journal of Tropical Ecology 28:353- 359,Paypayrola_blanchetiana,F,Female fitness,Habitat Fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P020,SF06,SF06:SF06P020,Breed et al. (2012) Ecology Letters 15:444- 452,Swietenia_macrophylla,F,Male fitness,Habitat fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P021,SF06,SF06:SF06P021,Breed et al. (2012) Molecular Ecology 21:5955- 5968,Eucalyptus_socialis,F,Male fitness,Habitat fragmentation,,ML014,existing_egwee_programme,do_not_recruit_as_new,linked_existing_no_new_recruitment,no
SF06:SF06P022,SF06,SF06:SF06P022,Breed et al. (2013) Heredity 115:108- 114,Eucalyptus_gracilis; Eucalyptus_incrassata,F,Male fitness,Habitat fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P023,SF06,SF06:SF06P023,Bruna & Kress (2002) Cons Biol 16:1256- 1266,Heliconia_acuminata,F,Female fitness,Habitat Fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P024,SF06,SF06:SF06P024,Brys et al. (2003) Acta Oecologica 24:247- 253,Primula_veris,F,Female fitness,Habitat Fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P025,SF06,SF06:SF06P025,Brys et al. (2004) Journal of Ecology 92: 5- 14,Primula_vulgaris,F,Female fitness,Habitat Fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P026,SF06,SF06:SF06P026,Brys et al. (2008) Botanical Journal of the Linnean Society 157:713- 721,Listera_ovata; Neottia_ovata,F,Female fitness; Male fitness,Habitat Fragmentation; Habitat fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P027,SF06,SF06:SF06P027,Brys et al. (2008) Journal of Evolutionary Biology 21:1281- 1289,Pulmonaria_officinalis,F,Female fitness,Habitat Fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P028,SF06,SF06:SF06P028,Brys et al. (2011) American Journal of Botany 98:1834- 1840,Centaurium_erythraea,F,Female fitness,Habitat Fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P029,SF06,SF06:SF06P029,Brzosko et al. (2017) Acta Agrobotanica 70.1,Cypripedium_calceolus,F,Female fitness,Habitat Fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P030,SF06,SF06:SF06P030,Burgess et al. (2006) New Zealand Journal of Ecology 179- 190,Peraxilla_tetrapetala,I,Pollination,Habitat fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P031,SF06,SF06:SF06P031,Burgos et al. (2008) Forest Ecology and Management 255:1226- 1233,Nothofagus_glauca,F,Female fitness,Habitat Fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P032,SF06,SF06:SF06P032,Butcher et al. (2005) Conservation Genetics 6:213- 226,Eucalyptus_benthamii,F,Male fitness,Habitat fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P033,SF06,SF06:SF06P033,Butcher et al. (2011) Conservation Genetics 12:1603- 1618,Tetratheca_paynterae,F,Male fitness,Habitat fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P034,SF06,SF06:SF06P034,Byers (2020) Plant Biology 22:137- 145,Lobelia_fenestralis,F,Female fitness,Habitat Fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P035,SF06,SF06:SF06P035,Byrne et al. (2007) Molecular Ecology 16:1303- 1314,Melaleuca_quadrifida,F,Male fitness,Habitat fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P036,SF06,SF06:SF06P036,Byrne et al. (2008) Conservation Genetics 9:97- 105,Eucalyptus_wandoo,F,Male fitness,Habitat fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P037,SF06,SF06:SF06P037,Capó et al. (2021) Plant Biology 23:121- 129,Orchis_palustris_subsp._robusta,F,Female fitness,Urbanization,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P038,SF06,SF06:SF06P038,Cascante et al. (2002) Conservation Biology 16:137- 147,Samanea_saman,F;I,Female fitness; Male fitness; Pollination,Habitat fragmentation; Habitat Fragmentation,,,primary_if_fragmentation_design_screen,screen_title_abstract_methods_same_exposure_and_independent_unit,pending_outcome_blind_design_screen,no
SF06:SF06P039,SF06,SF06:SF06P039,Chanyenga et al. (2011) Journal of Tropical Ecology 27:515- 520,Widdringtonia_whytei,F,Female fitness,Habitat Fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P040,SF06,SF06:SF06P040,Chen & Zuo (2019) Frontiers in Plant Science 10:327,Haloxylon_ammodendron,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,,,primary_if_fragmentation_design_screen,screen_title_abstract_methods_same_exposure_and_independent_unit,pending_outcome_blind_design_screen,no
SF06:SF06P041,SF06,SF06:SF06P041,Chen et al. (2019) Science of the Total Environment 654:1056- 1063,Caragana_korshinskii,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,,,primary_if_fragmentation_design_screen,screen_title_abstract_methods_same_exposure_and_independent_unit,pending_outcome_blind_design_screen,no
SF06:SF06P042,SF06,SF06:SF06P042,Chiapero et al. (2021) Forest Ecology and Management 492:119215,Lithraea_molleoides,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,,,primary_if_fragmentation_design_screen,screen_title_abstract_methods_same_exposure_and_independent_unit,pending_outcome_blind_design_screen,no
SF06:SF06P043,SF06,SF06:SF06P043,Coates et al. (2007) Australian Journal of Botany 55:239- 249,Eucalyptus_rameliana; Lambertia_orbifolia; Verticordia_fimbrilepis,F,Male fitness,Habitat fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P044,SF06,SF06:SF06P044,Collevati et al. (2001) Heredity 86:60- 67,Caryocar_brasiliense,F,Male fitness,Habitat fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P045,SF06,SF06:SF06P045,Colling & Matthies (2004) Oikos 105:71- 78,Scorzonera_humilis,F,Female fitness,Habitat Fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P046,SF06,SF06:SF06P046,Coombs et al. (2009) Austral Ecology 34:688- 697,Gomphocarpus_physocarpus,F;I,Female fitness; Male fitness; Pollination,Habitat fragmentation; Habitat Fragmentation,,,primary_if_fragmentation_design_screen,screen_title_abstract_methods_same_exposure_and_independent_unit,pending_outcome_blind_design_screen,no
SF06:SF06P047,SF06,SF06:SF06P047,Costin et al. (2001) Biol Conserv 98:273- 284,Leucochrysum_albicans,F,Female fitness,Habitat Fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P048,SF06,SF06:SF06P048,Craft & Ashley (2010) American Journal of Botany 97:1999- 2006,Quercus_macrocarpa,F,Female fitness; Male fitness,Habitat fragmentation; Habitat Fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P049,SF06,SF06:SF06P049,Cristobal-Pérez et al. (2021) Biological Conservation 256:109007,Spondias_purpurea,F;I,Female fitness; Male fitness; Pollination,Habitat fragmentation; Habitat Fragmentation,,ML003,existing_egwee_programme,do_not_recruit_as_new,linked_existing_no_new_recruitment,no
SF06:SF06P050,SF06,SF06:SF06P050,Cuevas et al. (2017) Botanical Sciences 95: 401- 408,Fuchsia_parviflora,F,Female fitness,Habitat Fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P051,SF06,SF06:SF06P051,Cunningham (2000) Conserv Biol 14:758- 768,Eremophila_glabra; Senna_artemisioides,F,Female fitness,Habitat Fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P052,SF06,SF06:SF06P052,Cunningham (2000) Conservation Biology 14:758- 768,Dianella_revoluta,F,Female fitness,Habitat Fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P053,SF06,SF06:SF06P053,Cunningham (2000) Proc R Soc B: Biol Sci 267:1149- 1152,Eremophila_glabra,I,Pollination,Habitat fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P054,SF06,SF06:SF06P054,Cuéllar-Rodríguez et al. (2016) The Journal of the Torrey Botanical Society 144:58- 62,Neltuma_laevigate,F,Female fitness,Habitat Fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF06:SF06P055,SF06,SF06:SF06P055,da Silva Elias et al. (2012) Journal of Tropical Ecology 28:317- 320,Cardiopetalum_calophyllum,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,,,primary_if_fragmentation_design_screen,screen_title_abstract_methods_same_exposure_and_independent_unit,pending_outcome_blind_design_screen,no
SF06:SF06P056,SF06,SF06:SF06P056,Dahlgaard & Warncke (1995) Nordic Journal of Botany 15:337- 341,Saxifraga_hirculus,F,Female fitness,Habitat Fragmentation,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
