source_frame,source_paper_id,citation,year,first_author,reference,doi,species,n_species,n_population_rows,source_selected_systematic_review_65,source_meta_analysis_31,source_meta_flag_raw,source_outcome_filter_status,existing_egwee_study_ids,countries,biomes,life_forms,life_cycles,mating_systems,self_incompatibility,pollination_classes,pollination_vectors,seed_dispersal_classes,seed_dispersal_vectors,cohorts,disturbance_classes,disturbance_codes,time_since_disturbance,title_method_screen_hints,potential_multilayer_screen,screening_status,screening_note
SF05,62,Collevatti et al. 2014,2014,Collevatti,"Collevatti, R.G., Telles, M.P.C., Lima, J.S., Gouveia, F.O., Soares, T.N., 2014. Contrasting spatial genetic structure in Annona crassiflora populations from fragmented and pristine savannas. Plant Syst. Evol. 300, 1719–1727. https://doi.org/10.1007/s00606-014-0997-9",10.1007/s00606-014-0997-9,Annona crassiflora,1,1,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,Brazil,Savanna,tree,Perennial,,protogyny,Bs,In,Mix-l,Un,adult,FH,P62-Sp1-FH,>80 y,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,64,Jacquemyn et al. 2006,2006,Jacquemyn,"Jacquemyn, H., Brys, R., Vandepitte, K., Honnay, O., Roldán-Ruiz, I., 2006. Fine-scale genetic structure of life history stages in the food-deceptive orchid Orchis purpurea. Mol. Ecol. 15, 2801–2808. https://doi.org/10.1111/j.1365-294X.2006.02978.x",10.1111/j.1365-294x.2006.02978.x,Orchis purpurea,1,2,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,Belgium,Forest;Grassland,herb,Perennial,m.out,,Bs,In,Ab-l,Wi,adult,D,P64-Sp1-D,>20 y,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,65,Jacquemyn et al. 2009,2009,Jacquemyn,"Jacquemyn, H., Wiegand, T., Vandepitte, K., Brys, R., Roldán-Ruiz, I., Honnay, O., 2009. Multigenerational analysis of spatial structure in the terrestrial, food-deceptive orchid Orchis mascula. J. Ecol. 97, 206–216. https://doi.org/10.1111/j.1365-2745.2008.01464.x",10.1111/j.1365-2745.2008.01464.x,Orchis mascula,1,2,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,Belgium,Forest,herb,Perennial,m.out,,Bs,In,Ab-l,Wi,adult,U,P65-Sp1-U,uns,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,66,Jin et al. 2012,2012,Jin,"Jin, Z., Li, J., Liu, L., 2012. Fine-scale spatial genetic structure within age classes of the two fragmented populations of Sinocalycanthus chinensis Cheng et S.Y. Chang, an endangered plant species endemic to China. Biochem. Syst. Ecol. 43, 117–124. https://doi.org/10.1016/j.bse.2012.02.023.",10.1016/j.bse.2012.02.023,Sinocalucanthus chinensis,1,1,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,China,Evergreen deciduous forest,shrub,Perennial,mixed,SC,Bs,In,Ab-s,Gr,defined mixed,FM,P66-Sp1-FM,uns,G_adult_FSGS;G_offspring_screen,yes,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,67,Yamagishi et al. 2007,2007,Yamagishi,"Yamagishi, H., Tomimatsu, H., Ohara, M., 2007. Fine-scale spatial genetic structure within continuous and fragmented populations of Trillium camschatcense. J. Hered. 98, 367–372. https://doi.org/10.1093/jhered/esm040",10.1093/jhered/esm040,Trillium camschatcense,1,2,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,Japan,Temperate deciduous forest,herb,Perennial,m.out,,Bs,In,T-s,An,adult,FM;U,P67-Sp1-FM;P67-Sp1-U,uns,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,68,Yao et al. 2011,2011,Yao,"Yao, X., Zhang, J., Ye, Q., Huang, H., 2011. Fine-scale spatial genetic structure and gene flow in a small, fragmented population of Sinojackia rehderiana (Styracaceae), an endangered tree species endemic to China. Plant Biol. 13, 401–410. https://doi.org/10.1111/j.1438-8677.2010.00361.x",10.1111/j.1438-8677.2010.00361.x,Sinojackia rehderiana,1,1,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,China,Evergreen forest,tree,Perennial,m.out,SC,Bs,In,Ab-s,Gr,defined mixed,FM,P68-Sp1-FM,uns,C_screen;G_adult_FSGS,yes,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,69,Chung et a. 2007,2007,Chung,"Chung, M.Y., Nason, J.D., Chung, M.G., 2007. Effects of population succession on demographic and genetic processes: Predictions and tests in the daylily Hemerocallis thunbergii (Liliaceae). Mol. Ecol. 16, 2816–2829. https://doi.org/10.1111/j.1365-294X.2007.03361.x",10.1111/j.1365-294x.2007.03361.x,Hemerocallis thunbergii,1,1,yes,no,yes,retained_after_source_FSGS_significance_and_outlier_filters,,Korea,Grassland transition to shrubland or forest,herb,Perennial,mixed,SC,Bs,In,Ab-s,Gr,all,FL,P69-Sp1-FL,uns,D_screen;G_adult_FSGS,yes,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,70,"Chybicki, et al. 2009 | Chybicki, et al. 2010",2010,Chybicki,"Chybicki, I.J., Trojankiewicz, M., Oleksa, A., Dzialuk, A., Burczyk, J., 2009. Isolation-by-distance within naturally established populations of European beech (Fagus sylvatica). Botany 87, 791–798. https://doi.org/10.1139/B09-049.",10.1139/b09-049,Fagus sylvatica,1,2,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,Poland,Coniferous forest,tree,Perennial,m.out,SC,Ab,Wi,Ab-s,Gr,adult,FM;U,P70-Sp1-FM;P70-Sp1-U,< 40 y;uns,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,71,Cortes et al. 2013,2013,Cortes,"Côrtes, M.C., Uriarte, M., Lemes, M.R., Gribel, R., John Kress, W., Smouse, P.E., Bruna, E.M., 2013. Low plant density enhances gene dispersal in the Amazonian understory herb Heliconia acuminata. Mol. Ecol. 22, 5716–5729. https://doi.org/10.1111/mec.12495",10.1111/mec.12495,Heliconia acuminata,1,2,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,Brazil,Tropical forest,herb,Perennial,m.out,SI.func,Bmx,Bi,Mix-l,Bi,adult,FL;U,P71-Sp1-FL;P71-Sp1-U,< 40 y,C_screen;D_screen;G_adult_FSGS,yes,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,73,Dering et al. 2018,2018,Dering,"Dering, M., Sękiewicz, K., Iszkuło, G., Chojnacka, A., Tomaszewski, D., Pers-Kamczyc, E., Karolewski, P., 2018. Spatial genetic structure and clonal structure of Prunus serotina during invasive spread. Silva Fenn. 52, 1–21. https://doi.org/10.14214/sf.9987",10.14214/sf.9987,Prunus serotina,1,4,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,Poland,Temperate forest,tree,Perennial,m.out,SI,Bs,In,Mix-l,Bi,adult,D;FM,P73-Sp1-D;P73-Sp1-FM,since 1960,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,74,Gigant et al. 2016,2016,Gigant,"Gigant, R.L., De Bruyn, A., M’sa, T., Viscardi, G., Gigord, L., Gauvin-Bialecki, A., Pailler, T., Humeau, L., Grisoni, M., Besse, P., 2016. Combining pollination ecology and fine-scale spatial genetic structure analysis to unravel the reproductive strategy of an insular threatened orchid. South African J. Bot. 105, 25–35. https://doi.org/10.1016/j.sajb.2016.02.205",10.1016/j.sajb.2016.02.205,Vanilla humblotii,1,1,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,Comoros archipelago,Mesophyllous forest,herb,Perennial,m.out,SC,Bs,In,Ab-l,Wi,adult,FL,P74-Sp1-FL,,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,75,Giombini et al. 2017,2017,Giombini,"Giombini, M.I., Bravo, S.P., Sica, Y. V., Tosto, D.S., 2017. Early genetic consequences of defaunation in a large-seeded vertebrate-dispersed palm (Syagrus romanzoffiana). Heredity (Edinb). 118, 568–577. https://doi.org/10.1038/hdy.2016.130",10.1038/hdy.2016.130,Syagrus romanzoffiana,1,6,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,Argentina,Atlantic forest,tree,Perennial,m.out,,Bs,In,Mix-l,Un,seedling,FH;U,P75-Sp1-FH;P75-Sp1-U,< 40 y,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,76,Ismail et al. 2012,2012,Ismail,"Ismail, S.A., Ghazoul, J., Ravikanth, G., Uma Shaanker, R., Kushalappa, C.G., Kettle, C.J., 2012. Does long-distance pollen dispersal preclude inbreeding in tropical trees? Fragmentation genetics of Dysoxylum malabaricum in an agro-forest landscape. Mol. Ecol. 21, 5484–5496. https://doi.org/10.1111/mec.12054",10.1111/mec.12054,Dysoxylum malabaricum,1,1,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,India,Tropical rainforest,tree,Perennial,m.out,,Bs,In,Mix-l,Bi,adult,D,P76-Sp1-D,>100 y,C_screen;G_adult_FSGS,yes,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,77,Pandey & Rajora 2012,2012,Pandey,"Pandey, M., Rajora, O.P., 2012. Higher fine-scale genetic structure in peripheral than in core populations of a long-lived and mixed-mating conifer - Eastern white cedar (Thuja occidentalis L.). BMC Evol. Biol. 12. https://doi.org/10.1186/1471-2148-12-48",10.1186/1471-2148-12-48,Thuja occidentalis,1,4,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,Canada,Coniferous forest,tree,Perennial,mixed,,Ab,Wi,Ab-l,Wi,non-defined mixed,FM;U,P77-Sp1-FM;P77-Sp1-U,long time,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,79,Pometti et al. 2018,2018,Pometti,"Pometti, C., Bessega, C., Cialdella, A., Ewens, M., Saidman, B., Vilardi, J., 2018. Spatial genetic structure within populations and management implications of the South American species Acacia aroma (Fabaceae). PLoS One 13, 1–14. https://doi.org/10.1371/journal.pone.0192107",10.1371/journal.pone.0192107,Acacia aroma,1,3,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,Argentina,Dry forest,tree,Perennial,m.out,,Bs,In,Mix-l,Un,adult,FH,P79-Sp1-FH,>100 y,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,80,Vaughan et al. 2007,2007,Vaughan,"Vaughan, S.P., Cottrell, J.E., Moodley, D.J., Connolly, T., Russell, K., 2007. Distribution and fine-scale spatial-genetic structure in British wild cherry (Prunus avium L.). Heredity (Edinb). 98, 274–283. https://doi.org/10.1038/sj.hdy.6800935",10.1038/sj.hdy.6800935,Prunus avium,1,2,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,Inglaterra,Temperate forest,tree,Perennial,m.out,,Bs,In,Mix-l,"Bi, MMa",adult,U,P80-Sp1-U,,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,81,Zhao et al 2009,2009,Zhao,"Zhao, R., Xia, H., Lu, B.R., 2009. Fine-scale genetic structure enhances biparental inbreeding by promoting mating events between more related individuals in wild soybean (Glycine soja; Fabaceae) populations. Am. J. Bot. 96, 1138–1147. https://doi.org/10.3732/ajb.0800173",10.3732/ajb.0800173,Glycine soja,1,4,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,China,Riparian vegetation,tree,Perennial,m.self,SC,Bs,In,Ab-s,Au,adult,FH;U,P81-Sp1-FH;P81-Sp1-U,uns,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,82,Morgan et al. 2017,2017,Morgan,"Morgan, E.J., Kaiser-Bunbury, C.N., Edwards, P.J., Fleischer-Dogley, F., Kettle, C.J., 2017. Keeping it in the family: strong fine-scale genetic structure and inbreeding in Lodoicea maldivica, the largest-seeded plant in the world. Conserv. Genet. 18, 1317–1329. https://doi.org/10.1007/s10592-017-0982-2 | Morgan, E.J., Kaiser-Bunbury, C.N., Edwards, P.J., Fleischer-Dogley, F., Kettle, C.J., 2017. Keeping it in the family: strong fine-scale genetic structure and inbreeding in Lodoicea maldivica, the largest-seeded plant in the world. Conserv. Genet. 18, 1317–1329. https://doi.org/10.1007/s10592-017-0982-3 | Morgan, E.J., Kaiser-Bunbury, C.N., Edwards, P.J., Fleischer-Dogley, F., Kettle, C.J., 2017. Keeping it in the family: strong fine-scale genetic structure and inbreeding in Lodoicea maldivica, the largest-seeded plant in the world. Conserv. Genet. 18, 1317–1329. https://doi.org/10.1007/s10592-017-0982-4 | Morgan, E.J., Kaiser-Bunbury, C.N., Edwards, P.J., Fleischer-Dogley, F., Kettle, C.J., 2017. Keeping it in the family: strong fine-scale genetic structure and inbreeding in Lodoicea maldivica, the largest-seeded plant in the world. Conserv. Genet. 18, 1317–1329. https://doi.org/10.1007/s10592-017-0982-5",10.1007/s10592-017-0982-2 | 10.1007/s10592-017-0982-3 | 10.1007/s10592-017-0982-4 | 10.1007/s10592-017-0982-5,Lodoicea maldivica,1,4,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,Seychelles archipelago,Tropical forest,tree,Perennial,m.out,,Bmx,Re,Ab-s,Gr,adult,FL;U,P82-Sp1-FL;P82-Sp1-U,uns,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,83,Browne & Karubian 2018,2018,Browne,"Browne, L., Karubian, J., 2018. Habitat loss and fragmentation reduce effective gene flow by disrupting seed dispersal in a neotropical palm. Mol. Ecol. 27, 3055–3069. https://doi.org/10.1111/mec.14765",10.1111/mec.14765,Oenocarpus bataua,1,2,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,Ecuador,Rainforest,tree,Perennial,m.out,,Bs,In,Mix-l,Bi,seedling,FM;U,P83-Sp1-FM;P83-Sp1-U,<40 y,C_screen;G_adult_FSGS,yes,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,84,Mathiasen & Premoli 2013,2013,Mathiasen,"Mathiasen, P., Premoli, A.C., 2013. Fine-scale genetic structure of Nothofagus pumilio (lenga) at contrasting elevations of the altitudinal gradient. Genetica 141, 95–105. https://doi.org/10.1007/s10709-013-9709-6",10.1007/s10709-013-9709-6,Nothofagus pumilio,1,1,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,Argentina,Temperate forest,tree/shrub,Perennial,m.out,SI,Ab,Wi,Ab-s,Gr,defined mixed,D,P84-Sp1-D,uns,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,85,Monthe et al. 2017,2017,Monthe,"Monthe, F.K., Hardy, O.J., Doucet, J.L., Loo, J., Duminil, J., 2017. Extensive seed and pollen dispersal and assortative mating in the rain forest tree Entandrophragma cylindricum (Meliaceae) inferred from indirect and direct analyses. Mol. Ecol. 26, 5279–5291. https://doi.org/10.1111/mec.14241",10.1111/mec.14241,Entandrophragma cylindricum,1,1,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,Cameroon,Tropical forest,tree,Perennial,m.out,SC,Bs,In,Ab-l,Wi,adult,D,P85-Sp1-D,>25 y,C_screen;G_adult_FSGS,yes,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,86,Raabova et al. 2015,2015,Raabova,"Raabová, J., Van Rossum, F., Jacquemart, A.L., Raspé, O., 2015. Population size affects genetic diversity and fine-scale spatial genetic structure in the clonal distylous herb Menyanthes trifoliata. Perspect. Plant Ecol. Evol. Syst. 17, 193–200. https://doi.org/10.1016/j.ppees.2015.02.005",10.1016/j.ppees.2015.02.005,Menyanthes trifoliata,1,9,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,Belgium,Bog;Fen,herb,Perennial,m.out,SI,Bs,In,Ab-l,Wa,adult,FH,P86-Sp1-FH,>150 y,D_screen;G_adult_FSGS,yes,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,87,Octavio-Aguilar et al 2017,2017,Octavio-Aguilar,"Octavio-Aguilar, P., Iglesias-Andreu, L.G., de Cáceres-González, F.F.N., Galván-Hernández, D.M., 2017. Fine-scale genetic structure of Zamia furfuracea: Variation with life-cycle stages. Int. J. Plant Sci. 178, 57–66. https://doi.org/10.1086/689200",10.1086/689200,Zamia furfuraceae,1,1,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,Mexico,Tropical forest,shrub,Perennial,m.out,,Bs,In,Ab-s,Gr,all,FH,P87-Sp1-FH,10 y,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,88,Xu et al. 2019,2019,Xu,"Xu, N., Jiang, K., Biswas, S.R., Tong, X., Wang, R., Chen, X., 2019. Clone Configuration and Spatial Genetic Structure of Two Halophila ovalis Populations With Contrasting Internode Lengths. Front. Ecol. Evol. 7, 1–13. https://doi.org/10.3389/fevo.2019.00170",10.3389/fevo.2019.00170,Halophila ovalis,1,2,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,China,Meadow,herb,Perennial,m.out,,Ab,Wa,Ab-l,Wa,non-defined mixed,FL;U,P88-Sp1-FL;P88-Sp1-U,uns,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,90,Zuo et al. 2015,2015,Zuo,"Zuo, W., Song, W., Jin, Z., Li, J., 2015. Fine-scale spatial genetic structure of Glechoma longituba. Shengtai Xuebao/ Acta Ecol. Sin. 35, 5761–5768. https://doi.org/10.5846/stxb201312223001",10.5846/stxb201312223001,Glechoma longituba,1,2,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,China,Forest,herb,Perennial,,,Bs,In,Ab-s,Gr,non-defined mixed,FH;U,P90-Sp1-FH;P90-Sp1-U,uns,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,91,Vandepitte et al. 2009,2009,Vandepitte,"Vandepitte, K., Roldán-Ruiz, I., Leus, L., Jacquemyn, H., Honnay, O., 2009. Canopy closure shapes clonal diversity and fine-scale genetic structure in the dioecious understorey perennial Mercurialis perennis. J. Ecol. 97, 404–414. https://doi.org/10.1111/j.1365-2745.2009.01484.x",10.1111/j.1365-2745.2009.01484.x,Mercurialis perennis,1,6,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,Belgium,Forest,herb,Perennial,m.out,,Ab,Wi,T-s,An,non-defined mixed,FL;FM;U,P91-Sp1-FL;P91-Sp1-FM;P91-Sp1-U,uns,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,92,Jin et al. 2006,2006,Jin,"Jin, Y., He, T., Lu, B.R., 2006. Genetic spatial clustering: Significant implications for conservation of wild soybean (Glycine soja: Fabaceae). Genetica 128, 41–49. https://doi.org/10.1007/s10709-005-4823-8",10.1007/s10709-005-4823-8,Glycine soja,1,3,yes,yes,no,retained_after_source_FSGS_significance_and_outlier_filters,,China,Deciduous forest,herb,Anual,m.self,,Bs,In,Ab-s,Au,non-defined mixed,FL;U,P92-Sp1-FL;P92-Sp1-U,uns,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,93,Lompo et al. 2020,2020,Lompo,"Lompo, D., Vinceti, B., Konrad, H., Duminil, J., Geburek, T., 2020. Fine-scale spatial genetic structure, mating, and gene dispersal patterns in Parkia biglobosa populations with different levels of habitat fragmentation. Appl. Plant Sci. 107, 1041–1053. https://doi.org/10.1002/ajb2.1504",10.1002/ajb2.1504,Parkia biglobosa,1,2,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,Burkina Faso,Savanna,tree,Perennial,m.out,SC,Bmx,"Ba,In",Mix-l,"Bi,Pr,Ro",adult,D,P93-Sp1-D,<30 y;<60 y,C_screen;G_adult_FSGS,yes,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,94,Kettle et al. 2011,2011,Kettle,"Kettle, C.J., Hollingsworth, P.M., Burslem, D.F.R.P., Maycock, C.R., Khoo, E., Ghazoul, J., 2011. Determinants of fine-scale spatial genetic structure in three co-occurring rain forest canopy trees in Borneo. Perspect. Plant Ecol. Evol. Syst. 13, 47–56. https://doi.org/10.1016/j.ppees.2010.11.002",10.1016/j.ppees.2010.11.002,Parashorea tomentella;Shorea xanthophylla,2,2,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,Malaysia,Moist tropical forest,tree,Perennial,m.out,SC,Bs,In,Ab-s,Gr,adult,FM,P94-Sp1-FM;P94-Sp2-FM,uns,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,96,Ayre et al. 2009,2009,Ayre,"Ayre, D., Ottewell, K., Krauss, S., Whelan, RJ. 2009. Genetic structure of seedling cohorts following repeated wildfires in the fire-sensitive shrub Persoonia mollis ssp nectens. Journal of Ecology 97(4): 752-760. https://doi.org/10.1111/j.1365-2745.2009.01516.x",10.1111/j.1365-2745.2009.01516.x,Persoonia mollis ssp nectens,1,1,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,Australia,Sclerophyllous forests,shrub,Perennial,m.out,SI,Bs,In,Ab-s,Gr,seedling,D,P96-Sp1-D,<10 y,G_adult_FSGS;G_offspring_screen,yes,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
