Paper,ID,species,family,life.fo.cat,life.form,life.cycle,foliage,rep.sys,mating.sys,S.I.,outcross.rate,out.rate.unit,selfing.rate,t.pol,pol.clas,pol.v,t.disp,d.clas,d.vec,country,biome,clim.reg,meta,cohort.mean,pop.name,cohort.grp,cohort,Pob.desc,density,dsensity.unit,sampling.type,N,marker,no.markers,FSGS.significance,F(1),bF,Sp,Sp (SE),f o F,FST,FIS ,Ho,He,AR,Kinship.coefficient,Kinship.coefficient (citation),time.w/o.dist,time.from.dist,disturbance,dist.desc,dist.clas,dist.code,logging,experimental.fragmentation,opening.clearings,agriculture,farming,urbanization,mining,construction,roads,fire,silviculture,agrofoestry,plantations,fertilizers/pesticides,conserved,year,first.author,citation,reference,Sp,F1,B,correlogram,data
20,31,Schinus molle,Anacardiaceae,tree/shrub,tree,Perennial,Evergreen,NA,NA,NA,NA,NA,NA,Biotic,Bs,In,Mixed,Mix-l,"Bi, MMa",Brazil,Savanna,Tropical,Y,N,P7,adult,adult,CS,2.52,tree/ha,"27-32 adults, aprox. 70-95% adults",31,AFLP,2,Y,3.7699999999999997E-2,-1.41E-2,1.46E-2,NA,NA,NA,NA,NA,0.1,NA,Kinship coefficient,Hardy 2003,0 y,uns,agr+urb,"fragmented by grassland, crops or urbanization",FH,P20-Sp1-FH,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,2015,Lemos,Lemos et al. 2015,"Lemos, R.P.M., D’Oliveira, C.B., Stefenon, V.M., 2015. Genetic structure and internal gene flow in populations of Schinus molle (Anacardiaceae) in the Brazilian Pampa. Tree Genet. Genomes 11. https://doi.org/10.1007/s11295-015-0885-7",Y,Y,Y,Y,https://treegenesdb.org/tpps_details/accession/TGDR051
20,31,Schinus molle,Anacardiaceae,tree/shrub,tree,Perennial,Evergreen,NA,NA,NA,NA,NA,NA,Biotic,Bs,In,Mixed,Mix-l,"Bi, MMa",Brazil,Savanna,Tropical,Y,N,P8,adult,adult,VN,198.02,tree/ha,"27-32 adults, aprox. 70-95% adults",32,AFLP,2,Y,8.4199999999999997E-2,-3.5999999999999997E-2,3.9300000000000002E-2,NA,NA,NA,NA,NA,0.06,NA,Kinship coefficient,Hardy 2003,0 y,uns,agr+urb,"fragmented by grassland, crops or urbanization",FH,P20-Sp1-FH,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,2015,Lemos,Lemos et al. 2015,"Lemos, R.P.M., D’Oliveira, C.B., Stefenon, V.M., 2015. Genetic structure and internal gene flow in populations of Schinus molle (Anacardiaceae) in the Brazilian Pampa. Tree Genet. Genomes 11. https://doi.org/10.1007/s11295-015-0885-7",Y,Y,Y,Y,https://treegenesdb.org/tpps_details/accession/TGDR052
20,31,Schinus molle,Anacardiaceae,tree/shrub,tree,Perennial,Evergreen,NA,NA,NA,NA,NA,NA,Biotic,Bs,In,Mixed,Mix-l,"Bi, MMa",Brazil,Savanna,Tropical,Y,N,P9,adult,adult,QI,90.17,tree/ha,"27-32 adults, aprox. 70-95% adults",32,AFLP,2,Y,9.7699999999999995E-2,-4.3999999999999997E-2,4.87E-2,NA,NA,NA,NA,NA,0.2,NA,Kinship coefficient,Hardy 2003,0 y,uns,agr+urb,"fragmented by grassland, crops or urbanization",FH,P20-Sp1-FH,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,2015,Lemos,Lemos et al. 2015,"Lemos, R.P.M., D’Oliveira, C.B., Stefenon, V.M., 2015. Genetic structure and internal gene flow in populations of Schinus molle (Anacardiaceae) in the Brazilian Pampa. Tree Genet. Genomes 11. https://doi.org/10.1007/s11295-015-0885-7",Y,Y,Y,Y,https://treegenesdb.org/tpps_details/accession/TGDR053
21,33,Quercus ellipsoidalis,Fagaceae,tree/shrub,tree,Perennial,Deciduous,NA,m.out,NA,NA,NA,NA,Abiotic,Ab,Wi,Mixed,Ab-s,Gr,USA,Temperate forest,Temperate,Y,N,P1,non-defined mixed,non-defined mixed,"CNF-QE Man,DBH>10cm",NA,NA,intensive,40,microsatellites,15,Y,2.1999999999999999E-2,-6.0000000000000001E-3,6.0000000000000001E-3,NA,NA,NA,9.0999999999999998E-2,0.69199999999999995,0.77700000000000002,12,"Moran's I
Kinship coefficient",Loiselle et al 1995,<10 y,>100 y,log+fire+sil,"logging, fires, clear cut last in 1994",FM,P21-Sp2-FM,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,2015,Lind-Riehl,Lind-Riehl & Gailing 2015,"Lind-Riehl, J., Gailing, O., 2015. Fine-scale spatial genetic structure of two red oak species, Quercus rubra and Quercus ellipsoidalis. Plant Syst. Evol. 301, 1601–1612. https://doi.org/10.1007/s00606-014-1173-y",Y,Y,Y,Y,N
21,33,Quercus ellipsoidalis,Fagaceae,tree/shrub,tree,Perennial,Deciduous,NA,m.out,NA,NA,NA,NA,Abiotic,Ab,Wi,Mixed,Ab-s,Gr,USA,Temperate forest,Temperate,Y,N,P2,non-defined mixed,non-defined mixed,"FC-C Man, DBH>10cm",NA,NA,intensive,50,microsatellites,15,Y,0.02,-5.0000000000000001E-3,5.0000000000000001E-3,NA,NA,NA,8.3000000000000004E-2,0.69,0.76700000000000002,11,"Moran's I
Kinship coefficient",Loiselle et al 1995,0 y,>100 y,log+fire+sil,"logging, fire, silviculture",FM,P21-Sp2-FM,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,2015,Lind-Riehl,Lind-Riehl & Gailing 2015,"Lind-Riehl, J., Gailing, O., 2015. Fine-scale spatial genetic structure of two red oak species, Quercus rubra and Quercus ellipsoidalis. Plant Syst. Evol. 301, 1601–1612. https://doi.org/10.1007/s00606-014-1173-y",Y,Y,Y,Y,N
21,33,Quercus ellipsoidalis,Fagaceae,tree/shrub,tree,Perennial,Deciduous,NA,m.out,NA,NA,NA,NA,Abiotic,Ab,Wi,Mixed,Ab-s,Gr,USA,Temperate forest,Temperate,Y,N,P3,non-defined mixed,non-defined mixed,"FC-E Man, DBH>10cm",NA,NA,intensive,47,microsatellites,15,Y,2.3E-2,-1.4E-2,1.4E-2,NA,NA,NA,0.214,0.59,0.749,10,"Moran's I
Kinship coefficient",Loiselle et al 1995,0 y,>100 y,log+fire+sil,"logging, fire, silviculture",FM,P21-Sp2-FM,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,2015,Lind-Riehl,Lind-Riehl & Gailing 2015,"Lind-Riehl, J., Gailing, O., 2015. Fine-scale spatial genetic structure of two red oak species, Quercus rubra and Quercus ellipsoidalis. Plant Syst. Evol. 301, 1601–1612. https://doi.org/10.1007/s00606-014-1173-y",Y,Y,Y,Y,N
21,33,Quercus ellipsoidalis,Fagaceae,tree/shrub,tree,Perennial,Deciduous,NA,m.out,NA,NA,NA,NA,Abiotic,Ab,Wi,Mixed,Ab-s,Gr,USA,Temperate forest,Temperate,Y,N,P4,non-defined mixed,non-defined mixed,"NNF-QE Man, DBH>10cm",NA,NA,intensive,39,microsatellites,15,Y,2.7E-2,-1.7000000000000001E-2,1.7000000000000001E-2,NA,NA,NA,0.13900000000000001,0.71099999999999997,0.80100000000000005,14,"Moran's I
Kinship coefficient",Loiselle et al 1995,<10 y,>100 y,log+fire+sil,"logging, fire, silviculture",FM,P21-Sp2-FM,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,2015,Lind-Riehl,Lind-Riehl & Gailing 2015,"Lind-Riehl, J., Gailing, O., 2015. Fine-scale spatial genetic structure of two red oak species, Quercus rubra and Quercus ellipsoidalis. Plant Syst. Evol. 301, 1601–1612. https://doi.org/10.1007/s00606-014-1173-y",Y,Y,Y,Y,N
21,32,Quercus rubra,Fagaceae,tree/shrub,tree,Perennial,Deciduous,NA,m.out,NA,NA,NA,NA,Abiotic,Ab,Wi,Mixed,Ab-s,Gr,USA,Temperate forest,Temperate,Y,N,P5,non-defined mixed,non-defined mixed,"HMR-IH UnM, DBH>10cm",NA,NA,exhaustive,76,microsatellites,15,Y,2.5999999999999999E-2,-8.9999999999999993E-3,8.9999999999999993E-3,NA,NA,NA,0.08,0.69799999999999995,0.77800000000000002,12,"Moran's I
Kinship coefficient",Loiselle et al 1995,>70 y,>100 y,log+fire,"pine logging late 1800's, common fires until 1930",FL,P21-Sp1-FL,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,2015,Lind-Riehl,Lind-Riehl & Gailing 2015,"Lind-Riehl, J., Gailing, O., 2015. Fine-scale spatial genetic structure of two red oak species, Quercus rubra and Quercus ellipsoidalis. Plant Syst. Evol. 301, 1601–1612. https://doi.org/10.1007/s00606-014-1173-y",Y,Y,Y,Y,N
21,32,Quercus rubra,Fagaceae,tree/shrub,tree,Perennial,Deciduous,NA,m.out,NA,NA,NA,NA,Abiotic,Ab,Wi,Mixed,Ab-s,Gr,USA,Temperate forest,Temperate,Y,N,P6,non-defined mixed,non-defined mixed,"HMR-LP UnM, DBH>10cm",NA,NA,intensive,52,microsatellites,15,Y,1.2999999999999999E-2,-2E-3,2E-3,NA,NA,NA,0.12,0.66600000000000004,0.78,13,"Moran's I
Kinship coefficient",Loiselle et al 1995,>70 y,>100 y,log+fire,"pine logging late 1800's, common fires until 1930",FL,P21-Sp1-FL,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,2015,Lind-Riehl,Lind-Riehl & Gailing 2015,"Lind-Riehl, J., Gailing, O., 2015. Fine-scale spatial genetic structure of two red oak species, Quercus rubra and Quercus ellipsoidalis. Plant Syst. Evol. 301, 1601–1612. https://doi.org/10.1007/s00606-014-1173-y",Y,Y,Y,Y,N
21,32,Quercus rubra,Fagaceae,tree/shrub,tree,Perennial,Deciduous,NA,m.out,NA,NA,NA,NA,Abiotic,Ab,Wi,Mixed,Ab-s,Gr,USA,Temperate forest,Temperate,Y,N,P8,non-defined mixed,non-defined mixed,"PM-QR UnM, DBH>10cm",NA,NA,intensive,40,microsatellites,15,Y,1.6E-2,-6.0000000000000001E-3,6.0000000000000001E-3,NA,NA,NA,0.105,0.63500000000000001,0.72299999999999998,12,"Moran's I
Kinship coefficient",Loiselle et al 1995,>60 y,>100 y,log+fire,"pine logging late 1800's, common fires until 1930",FL,P21-Sp1-FL,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,2015,Lind-Riehl,Lind-Riehl & Gailing 2015,"Lind-Riehl, J., Gailing, O., 2015. Fine-scale spatial genetic structure of two red oak species, Quercus rubra and Quercus ellipsoidalis. Plant Syst. Evol. 301, 1601–1612. https://doi.org/10.1007/s00606-014-1173-y",Y,Y,Y,Y,N
21,32,Quercus rubra,Fagaceae,tree/shrub,tree,Perennial,Deciduous,NA,m.out,NA,NA,NA,NA,Abiotic,Ab,Wi,Mixed,Ab-s,Gr,USA,Temperate forest,Temperate,Y,N,P2,non-defined mixed,non-defined mixed,"FC-A Man,DBH>10cm",NA,NA,exhaustive,48,microsatellites,15,Y,1.6E-2,-7.0000000000000001E-3,7.0000000000000001E-3,NA,NA,NA,0.14399999999999999,0.66900000000000004,0.80500000000000005,11,"Moran's I
Kinship coefficient",Loiselle et al 1995,<10 y,>100 y,log+fire+sil,"logging 1800s & 1920-1940, last fire 1910. silviculture from 1954, and localized fires. Common fires until 1930. Management by shelter wood cutting",FM,P21-Sp1-FM,2 events,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,2015,Lind-Riehl,Lind-Riehl & Gailing 2015,"Lind-Riehl, J., Gailing, O., 2015. Fine-scale spatial genetic structure of two red oak species, Quercus rubra and Quercus ellipsoidalis. Plant Syst. Evol. 301, 1601–1612. https://doi.org/10.1007/s00606-014-1173-y",Y,Y,Y,Y,N
21,32,Quercus rubra,Fagaceae,tree/shrub,tree,Perennial,Deciduous,NA,m.out,NA,NA,NA,NA,Abiotic,Ab,Wi,Mixed,Ab-s,Gr,USA,Temperate forest,Temperate,Y,N,P3,non-defined mixed,non-defined mixed,"FC-B Man, DBH>10cm",NA,NA,exhaustive,48,microsatellites,15,Y,1.7000000000000001E-2,-4.0000000000000001E-3,4.0000000000000001E-3,NA,NA,NA,0.15,0.65200000000000002,0.78700000000000003,12,"Moran's I
Kinship coefficient",Loiselle et al 1995,0 y,>100 y,log+fire+sil,"logging 1800s & 1920-1940, last fire 1910. silviculture from 1954, and localized fires. Common fires until 1930. Management by shelter wood cutting",FM,P21-Sp1-FM,2 events,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,2015,Lind-Riehl,Lind-Riehl & Gailing 2015,"Lind-Riehl, J., Gailing, O., 2015. Fine-scale spatial genetic structure of two red oak species, Quercus rubra and Quercus ellipsoidalis. Plant Syst. Evol. 301, 1601–1612. https://doi.org/10.1007/s00606-014-1173-y",Y,Y,Y,Y,N
23,35,Polygala reinii,Polygalaceae,herb,herb,Perennial,NA,NA,m.out,NA,NA,NA,NA,Biotic,Bs,In,Biotic,T-s,An,Japan,Forest,Temperate,Y,N,P1.a,non-defined mixed,non-defined mixed,IK1,NA,NA,all ind,156,Allozymes,10,Y,NA,NA,2.5999999999999999E-2,NA,1.4E-2,NA,NA,NA,0.16800000000000001,NA,Kinship coefficient,Loiselle et al 1995,uns,uns,plant,plantation,D,P23-Sp1-D,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,2010,Nakagawa,Nakagawa et al. 2010,"Nakagawa, M., 2010. Fine-scale genetic structure within plots of Polygala reinii (Polygalaceae) having an ant-dispersal seed. J. Plant Res. 123, 355–362. https://doi.org/10.1007/s10265-009-0276-y",Y,N,N,Y,N
23,35,Polygala reinii,Polygalaceae,herb,herb,Perennial,NA,NA,m.out,NA,NA,NA,NA,Biotic,Bs,In,Biotic,T-s,An,Japan,Forest,Temperate,Y,N,P1.b,non-defined mixed,non-defined mixed,IK2,NA,NA,all ind,60,Allozymes,10,Y,NA,NA,2.5000000000000001E-2,NA,-5.5E-2,NA,NA,NA,0.17,NA,Kinship coefficient,Loiselle et al 1995,uns,uns,plant,plantation,D,P23-Sp1-D,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,2010,Nakagawa,Nakagawa et al. 2010,"Nakagawa, M., 2010. Fine-scale genetic structure within plots of Polygala reinii (Polygalaceae) having an ant-dispersal seed. J. Plant Res. 123, 355–362. https://doi.org/10.1007/s10265-009-0276-y",Y,N,N,Y,N
25,37,Fagus sylvatica,Fagaceae,tree/shrub,tree,Perennial,Deciduous,Hermaphrodite,m.out,NA,NA,NA,0.01,Abiotic,Ab,Wi,Abiotic,Ab-s,Gr,France,"Pine forest, Fagus forest",Temperate,Y,N,P1.1,adult,adult,FS1 adult; recolonization,50,tree/ha,exhaustive sampling of adults in  patches.,96,microsatellites,11,Y,8.2100000000000006E-2,NA,2.18E-2,4.5999999999999999E-3,NA,NA,NA,NA,NA,NA,Kinship coefficient,Loiselle et al 1995,uns,uns,open,recent disturbance and expansion,FL,P25-Sp1-FL,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,2010,Oddou-Muratorio,Oddou-Muratorio et al. 2010,"Oddou-Muratorio, S., Bontemps, A., Klein, E.K., Chybicki, I., Vendramin, G.G., Suyama, Y., 2010. Comparison of direct and indirect genetic methods for estimating seed and pollen dispersal in Fagus sylvatica and Fagus crenata. For. Ecol. Manage. 259, 2151–2159. https://doi.org/10.1016/j.foreco.2010.03.001",Y,Y,N,Y,N
25,37,Fagus sylvatica,Fagaceae,tree/shrub,tree,Perennial,Deciduous,Hermaphrodite,m.out,NA,NA,NA,0.04,Abiotic,Ab,Wi,Abiotic,Ab-s,Gr,France,"Pine forest, Fagus forest",Temperate,Y,N,P2.1,adult,adult,FS2 adult; recolonization,19,tree/ha,exhaustive sampling of adults in  patches.,50,microsatellites,11,Y,7.85E-2,NA,3.5400000000000001E-2,7.6E-3,NA,NA,NA,NA,NA,NA,Kinship coefficient,Loiselle et al 1995,uns,uns,open,recent disturbance and expansion,FL,P25-Sp1-FL,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,2010,Oddou-Muratorio,Oddou-Muratorio et al. 2010,"Oddou-Muratorio, S., Bontemps, A., Klein, E.K., Chybicki, I., Vendramin, G.G., Suyama, Y., 2010. Comparison of direct and indirect genetic methods for estimating seed and pollen dispersal in Fagus sylvatica and Fagus crenata. For. Ecol. Manage. 259, 2151–2159. https://doi.org/10.1016/j.foreco.2010.03.001",Y,Y,N,Y,N
25,37,Fagus sylvatica,Fagaceae,tree/shrub,tree,Perennial,Deciduous,Hermaphrodite,m.out,NA,NA,NA,0.03,Abiotic,Ab,Wi,Abiotic,Ab-s,Gr,France,"Pine forest, Fagus forest",Temperate,Y,N,P3.1,adult,adult,FS3 adult; old,44,tree/ha,exhaustive sampling of adults in  patches.,350,microsatellites,5,Y,5.7700000000000001E-2,,8.6999999999999994E-3,1.1999999999999999E-3,NA,NA,NA,NA,NA,NA,Kinship coefficient,Loiselle et al 1995,uns,<20 y,open,"recent disturbance, clear openning by storm 1999",FL,P25-Sp1-FL,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,2010,Oddou-Muratorio,Oddou-Muratorio et al. 2010,"Oddou-Muratorio, S., Bontemps, A., Klein, E.K., Chybicki, I., Vendramin, G.G., Suyama, Y., 2010. Comparison of direct and indirect genetic methods for estimating seed and pollen dispersal in Fagus sylvatica and Fagus crenata. For. Ecol. Manage. 259, 2151–2159. https://doi.org/10.1016/j.foreco.2010.03.001",Y,Y,N,Y,N
31,48,Ceratiola ericoides,Empetraceae,tree/shrub,shrub,Perennial,Evergreen,Dioecious,m.out,NA,NA,NA,NA,Abiotic,Ab,Wi,Mixed,Ab-s,Gr,USA,Shrubland,Tropical,Y,N,P1,defined mixed,defined mixed,CBK smaller population,NA,NA,exhaustive sampling,146,Allozymes,4,Y,NA,NA,3.8E-3,NA,NA,NA,NA,NA,5.8999999999999997E-2,NA,multiallelic codominant multilocus,Smouse & Peakall 1999,>10 y,>10 y,fire,localized fire every 5 y,D,P31-Sp1-D,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,2008,Trapnell,Trapnell et al. 2008,"Trapnell, D.W., Schmidt, J.P., Hamrick, J.L., 2008. Spatial genetic structure of the southeastern North American endemic, Ceratiola ericoides (Empetraceae). J. Hered. 99, 604–609. https://doi.org/10.1093/jhered/esn043",Y,N,N,Y,N
31,48,Ceratiola ericoides,Empetraceae,tree/shrub,shrub,Perennial,Evergreen,Dioecious,m.out,NA,NA,NA,NA,Abiotic,Ab,Wi,Mixed,Mix-l,Bi,USA,Shrubland,Tropical,Y,N,P2,defined mixed,defined mixed,FTG,NA,NA,exhaustive sampling,500,Allozymes,4,Y,NA,NA,4.1099999999999998E-2,NA,NA,NA,NA,NA,1.4999999999999999E-2,NA,multiallelic codominant multilocus,Smouse & Peakall 1999,0 y,<40 y,fire,fire every 3 y from 1970,D,P31-Sp1-D,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,2008,Trapnell,Trapnell et al. 2008,"Trapnell, D.W., Schmidt, J.P., Hamrick, J.L., 2008. Spatial genetic structure of the southeastern North American endemic, Ceratiola ericoides (Empetraceae). J. Hered. 99, 604–609. https://doi.org/10.1093/jhered/esn043",Y,N,N,Y,N
32,49,Castanopsis sclerophylla,Fagaceae,tree/shrub,tree,Perennial,Evergreen,Monoecious,m.out,NA,NA,NA,NA,Abiotic,Ab,Wi,Abiotic,Ab-s,Gr,China,Subtropical evergreen forest,Tropical,Y,Y,P2.prom,defined mixed,defined mixed,Laoshan Island pre; 875 ha; moderadamente fragmentado,NA,NA,exhaustive sampling in patches. Subpatches 20m from border,257,microsatellites,8,Y,NA,-8.3000000000000001E-3,8.3999999999999995E-3,NA,NA,NA,0.11,0.54500000000000004,0.61,7.35,Kinship coefficient,Loiselle et al. 1995,uns,>50 y,damn,construction of damn in 1959 produced a lake,FH,P32-Sp1-FH,N,N,N,N,N,N,N,damn,N,N,N,N,N,N,N,2011,Wang,Wang et al. 2011,"Wang, R., Compton, S.G., Chen, X.Y., 2011. Fragmentation can increase spatial genetic structure without decreasing pollen-mediated gene flow in a wind-pollinated tree. Mol. Ecol. 20, 4421–4432. https://doi.org/10.1111/j.1365-294X.2011.05293.x",Y,N,Y,Y,https://doi.org/10.5061/dryad.500dm
32,49,Castanopsis sclerophylla,Fagaceae,tree/shrub,tree,Perennial,Evergreen,Monoecious,m.out,NA,NA,NA,NA,Abiotic,Ab,Wi,Abiotic,Ab-s,Gr,China,Subtropical evergreen forest,Tropical,Y,Y,P3.prom,defined mixed,defined mixed,"Xianshan Peninsula post; continental area, continuous forest >2500 ha",NA,NA,exhaustive sampling in patches. Subpatches 20m from border,307,microsatellites,8,Y,NA,-5.4000000000000003E-3,5.4000000000000003E-3,NA,NA,NA,0.16700000000000001,0.52500000000000002,0.63,7.78,Kinship coefficient,Loiselle et al. 1995,uns,>50 y,damn,construction of damn in 1959 produced a lake,FH,P32-Sp1-FH,N,N,N,N,N,N,N,damn,N,N,N,N,N,N,N,2011,Wang,Wang et al. 2011,"Wang, R., Compton, S.G., Chen, X.Y., 2011. Fragmentation can increase spatial genetic structure without decreasing pollen-mediated gene flow in a wind-pollinated tree. Mol. Ecol. 20, 4421–4432. https://doi.org/10.1111/j.1365-294X.2011.05293.x",Y,N,Y,Y,https://doi.org/10.5061/dryad.500dm
42,64,Primula vulgaris,Primulaceae,herb,herb,Perennial,Evergreen,Hermaphrodite,m.out,SI.distily,NA,NA,NA,Biotic,Bs,In,Abiotic,Ab-s,Au,Belgium,Moist deciduous forest,Temperate,Y,N,P1,adult,adult,Vakeleie,NA,NA,reproductive ind (% pop),92,Allozymes,15,Y,0.06,-1.23E-2,1.2999999999999999E-2,NA,NA,NA,2.7499999999999998E-3,5.9249999999999997E-2,5.9749999999999998E-2,1.1725000000000001,Kinship coefficient,Loiselle et al 1995,0 y,uns,agr,Intensive agriculture,FM,P42-Sp1-FM,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,2003,Van Rossum,Van Rossum & Triest 2003,"Van Rossum, F., Triest, L., 2003. Spatial Genetic Structure and Reproductive Success in Fragmented and Continuous Populations of Primula vulgaris. Folia Geobot. 38, 239–254.",N,Y,Y,Y,N
42,64,Primula vulgaris,Primulaceae,herb,herb,Perennial,Evergreen,Hermaphrodite,m.out,SI.distily,NA,NA,NA,Biotic,Bs,In,Abiotic,Ab-s,Au,Belgium,Moist deciduous forest,Temperate,Y,N,P2,adult,adult,Pratboos,NA,NA,reproductive ind (% pop),66,Allozymes,15,Y,8.5999999999999993E-2,-1.49E-2,1.6E-2,NA,NA,NA,0.25800000000000001,4.7666667000000003E-2,6.3333333000000006E-2,1.19,Kinship coefficient,Loiselle et al 1995,0 y,uns,agr,Intensive agriculture,FM,P42-Sp1-FM,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,2003,Van Rossum,Van Rossum & Triest 2003,"Van Rossum, F., Triest, L., 2003. Spatial Genetic Structure and Reproductive Success in Fragmented and Continuous Populations of Primula vulgaris. Folia Geobot. 38, 239–254.",N,Y,Y,Y,N
42,64,Primula vulgaris,Primulaceae,herb,herb,Perennial,Evergreen,Hermaphrodite,m.out,SI.distily,NA,NA,NA,Biotic,Bs,In,Abiotic,Ab-s,Au,Belgium,Moist deciduous forest,Temperate,Y,N,P3,adult,adult,Merkenvelde,NA,NA,reproductive ind (% pop),52,Allozymes,15,Y,5.1999999999999998E-2,-1.18E-2,1.2E-2,NA,NA,NA,8.3000000000000004E-2,5.8000000000000003E-2,6.3E-2,1.19,Kinship coefficient,Loiselle et al 1995,0 y,uns,agr,Intensive agriculture,FM,P42-Sp1-FM,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,2003,Van Rossum,Van Rossum & Triest 2003,"Van Rossum, F., Triest, L., 2003. Spatial Genetic Structure and Reproductive Success in Fragmented and Continuous Populations of Primula vulgaris. Folia Geobot. 38, 239–254.",N,Y,Y,Y,N
44,66,Primula veris,Primulaceae,herb,herb,Perennial,Evergreen,Hermaphrodite,m.out,SI.distily,NA,NA,NA,Biotic,Bs,In,Abiotic,Ab-s,Au,Belgium,Grassland,Temperate,Y,N,P1,adult,adult,Moeren (WH),0.82,NA,flowering ind in transects ,75,Allozymes,13,Y,1.7999999999999999E-2,-1.38E-2,1.4E-2,NA,0.34399999999999997,NA,NA,NA,NA,NA,Kinship coefficient,Loiselle et al 1995,0 y,decades,agr,Intensive agriculture,FM,P44-Sp1-FM,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,2007,Van Rossum,Van Rossum & Triest 2007,"Van Rossum, F., Triest, L., 2007. Fine-scale spatial genetic structure of the distylous Primula veris in fragmented habitats. Plant Biol. 9, 374–382. https://doi.org/10.1055/s-2006-924632",Y,Y,Y,Y,N
44,66,Primula veris,Primulaceae,herb,herb,Perennial,Evergreen,Hermaphrodite,m.out,SI.distily,NA,NA,NA,Biotic,Bs,In,Abiotic,Ab-s,Au,Belgium,Grassland,Temperate,Y,N,P2,adult,adult,Pervijze (WH),9.2899999999999991,NA,flowering ind in transects ,75,Allozymes,13,Y,5.8000000000000003E-2,-2.64E-2,2.8000000000000001E-2,NA,0.29499999999999998,NA,NA,NA,NA,NA,Kinship coefficient,Loiselle et al 1995,0 y,decades,agr,Intensive agriculture,FM,P44-Sp1-FM,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,2007,Van Rossum,Van Rossum & Triest 2007,"Van Rossum, F., Triest, L., 2007. Fine-scale spatial genetic structure of the distylous Primula veris in fragmented habitats. Plant Biol. 9, 374–382. https://doi.org/10.1055/s-2006-924632",Y,Y,Y,Y,N
44,66,Primula veris,Primulaceae,herb,herb,Perennial,Evergreen,Hermaphrodite,m.out,SI.distily,NA,NA,NA,Biotic,Bs,In,Abiotic,Ab-s,Au,Belgium,Grassland,Temperate,Y,N,P3,adult,adult,Veurs (VR),15.2,NA,flowering ind in 3 transects ,75,Allozymes,13,Y,5.8999999999999997E-2,-9.1999999999999998E-3,0.01,NA,0.23100000000000001,NA,NA,NA,NA,NA,Kinship coefficient,Loiselle et al 1995,0 y,decades,agr,Extensive agriculture,FM,P44-Sp1-FM,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,2007,Van Rossum,Van Rossum & Triest 2007,"Van Rossum, F., Triest, L., 2007. Fine-scale spatial genetic structure of the distylous Primula veris in fragmented habitats. Plant Biol. 9, 374–382. https://doi.org/10.1055/s-2006-924632",Y,Y,Y,Y,N
46,70,Aucoumea klaineana,Burseraceae,tree/shrub,tree,Perennial,Evergreen,Dioecious,m.out,NA,NA,NA,NA,Biotic,Bs,In,Abiotic,Ab-l,Wi,Gabon,Tropical deciduous rainforest,Tropical,Y,N,P2,non-adult,juvenil,Boumango,NA,NA,juvenile trees on recent roads,88,microsatellites,10,Y,7.8200000000000006E-2,-2.3400000000000001E-2,1.2200000000000001E-2,7.3000000000000001E-3,NA,NA,4.2999999999999997E-2,0.36199999999999999,0.376,NA,Kinship coeffcient,Loiselle et al 1995,0 y,uns,road,recent roads,FL,P46-Sp1-FL,N,N,N,N,N,N,N,N,rural,N,N,N,N,N,N,2008,Born,Born et al. 2008,"Born, C., Hardy, O.J., Chevallier, M.H., Ossari, S., Attéké, C., Wickings, E.J., Hossaert-Mckey, M., 2008. Small-scale spatial genetic structure in the Central African rainforest tree species Aucoumea klaineana: A stepwise approach to infer the impact of limited gene dispersal, population history and habitat fragmentation. Mol. Ecol. 17, 2041–2050. https://doi.org/10.1111/j.1365-294X.2007.03685.x",Y,Y,Y,Y,N
