queue_id,candidate_openalex_id,doi,title,publication_year,first_author,source_name,layer_hints,pair_families,abstract_available,triage_class,workload_priority_basis,screening_status,outcome_opened
CFTQ0084,W2786617456,10.1098/rspb.2017.2242,"Landscape configurational heterogeneity by small-scale agriculture, not crop diversity, maintains pollinators and plant reproduction in western Europe",2018,Annika Louise Hass,Proceedings of the Royal Society B Biological Sciences,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0085,W2790384729,10.1093/aobpla/ply019,Relative contribution of reproductive attributes to the density-dependent effects on fruit-set,2018,Vineet Kumar Singh,AoB Plants,I;F;G_offspring,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0086,W2793629282,10.15406/bij.2018.02.00039,Loss of Connectivity in a Highly Fragmented Tropical Landscape: Use of Ecological Processes as Functional Indicators of Biodiversity Decline,2018,Rosamond Coates,Biodiversity International Journal,I;F;G_adult,"I-F;G_adult-mean(I,F)",yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0087,W2794069590,10.1071/bt17192,Conservation genetics and demographic analysis of the endangered cycad species Cycas megacarpa and the impacts of past habitat fragmentation,2018,Heather E. James,Australian Journal of Botany,C;F;G_offspring,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0088,W2795135111,10.1111/plb.12724,High levels of fecundity in small and isolated populations of a self‐compatible Aloe pollinated by opportunistic birds and bees,2018,Kirsten L. Patrick,Plant Biology,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0089,W2805966451,10.1111/oik.04882,Pollinator‐mediated mechanisms for increased reproductive success in early flowering plants,2018,Jennifer L. Ison,Oikos,I;F;G_adult,"I-F;G_adult-mean(I,F)",yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0090,W2901716069,10.22201/ib.20078706e.2018.4.2546,"The additive effects of pollinators and herbivores on the vine Bomarea salsilla (Alstroemeriaceae), remain spatially consistent in a fragmented forest",2018,Carlos E. Valdivia,Revista Mexicana de Biodiversidad,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0091,W2902765688,10.58843/ornneo.v29i1.334,FRUIT REMOVAL BY LARGE AVIAN FRUGIVORES VARIES IN RELATION TO HABITAT QUALITY IN CONTINUOUS NEOTROPICAL RAINFOREST,2018,Michael C. Mahoney,Ornitología Neotropical,I;C;F,I-F;C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0092,W2606599806,10.1674/0003-0031-177.2.289,Pollination and Reproductive Biology in a Hill Prairie Population of Nothocalais cuspidata (Asteraceae: Cichorieae),2017,Gregg Dieringer,The American Midland Naturalist,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0093,W2732892049,10.1080/0028825x.2017.1343737,Microsatellite analysis of populations of the endangered tree Gomortega keule suggests pre‐Columbian differentiation,2017,Diego Muñoz‐Concha,New Zealand Journal of Botany,C;F;G_offspring,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0094,W2756794303,10.1002/ece3.3465,Effect of pollen and resource limitation on reproduction of Zygophyllum xanthoxylum in fragmented habitats,2017,Min Chen,Ecology and Evolution,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0095,W2757851188,10.4238/gmr16039756,Research Article Contemporary pollen and seed dispersal in natural populations of Bertholletia excelsa (Bonpl.).,2017,Aisy Botega Baldoni,Genetics and Molecular Research,I;C;F;G_offspring,I-F;C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0096,W2766364931,10.1590/0102-33062017abb0083,"The influence of El Niño and edge effects on the reproductive phenology and floral visitors of Eschweilera tetrapetala Mori (Lecythidaceae), an endemic species of the Atlantic Forest of northeastern Brazil",2017,Isiara Silva Menezes,Acta Botanica Brasilica,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0097,W2767290204,10.1111/rec.12620,Genetic diversity of reintroduced tree populations in restoration plantations of the Brazilian Atlantic Forest,2017,Maria Imaculada Zucchi,Restoration Ecology,I;F;G_adult,"I-F;G_adult-mean(I,F)",yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0098,W2771203549,10.3398/064.077.0404,Road Dust Correlated with Decreased Reproduction of the Endangered Utah Shrub Hesperidanthus suffrutescens,2017,Matthew Lewis,Western North American Naturalist,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0099,W2774735662,10.1590/2175-7860201768530,"Defaunation as a trigger for the additional loss of plant species in fragmented landscapes: considerations on the state of Espírito Santo, southeastern Brazil",2017,Ana Carolina Srbek‐Araujo,Rodriguésia,I;C;F,I-F;C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0100,W2779062116,10.1139/cjb-2017-0104,"Breeding system and inbreeding depression in the rare orchid, Platanthera praeclara, in a fragmented grassland landscape",2017,Steven E. Travers,Botany,I;F;G_offspring,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0101,W2397817499,10.1002/ece3.2163,Demographic consequences of greater clonal than sexual reproduction in Dicentra canadensis,2016,Chia‐Hua Lin,Ecology and Evolution,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0102,W2422602232,10.1111/acv.12286,Testing the demographic effects of divergent immigrants on small populations of Trinidadian guppies,2016,John A. Kronenberger,Animal Conservation,C;F,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0103,W2470051590,10.1017/s0266467416000353,Effects of forest and cave proximity on fruit set of tree crops in tropical orchards in Southern Thailand,2016,Tuanjit Sritongchuay,Journal of Tropical Ecology,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0104,W2489749587,10.1111/btp.12359,Fruit biomass availability along a forest cover gradient,2016,Michaele S. Pessoa,Biotropica,C;F,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0105,W2499402655,10.1093/aob/mcw139,Reproductive isolation between populations ofIris atropurpureais associated with ecological differentiation,2016,Gil Yardeni,Annals of Botany,I;C;F,I-F;C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0106,W2509305638,10.1016/j.biocon.2016.07.032,"The genetic consequences of long term habitat fragmentation on a self-incompatible clonal plant, Linnaea borealis L.",2016,R. Axel W. Wiberg,Biological Conservation,C;F;G_adult,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0107,W2510886307,10.3390/f7080178,"Reproductive Success and Inbreeding Differ in Fragmented Populations of Pinus rzedowskii and Pinus ayacahuite var. veitchii, Two Endemic Mexican Pines under Threat",2016,Paty Castilleja Sánchez,Forests,C;F;G_offspring,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0108,W2519204557,10.1111/cobi.12839,"Questioning public perception, conservation policy, and recovery actions for honeybees in North America",2016,Sheila R. Colla,Conservation Biology,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0109,W2529417329,10.1111/rec.12456,Does restored plant diversity play a role in the reproductive functionality of Banksia populations?,2016,Alison L. Ritchie,Restoration Ecology,I;C;F;G_offspring,I-F;C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0110,W2563188535,10.3159/torrey-d-15-00070.1,Seeds and seedlings from isolated mesquite trees,2016,Gerardo Cuéllar-Rodríguez,The Journal of the Torrey Botanical Society,I;C;F,I-F;C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0111,W2567048650,10.7717/peerj.2764,"Life history and past demography maintain genetic structure, outcrossing rate, contemporary pollen gene flow of an understory herb in a highly fragmented rainforest",2016,Pilar Suárez‐Montes,PeerJ,I;C;F;G_offspring,I-F;C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0112,W1155913319,10.1016/j.proenv.2015.07.077,"Habitat Loss Caused Clonality, Genetic Diversity Reduction and Reproductive Failure in SANTALUM ALBUM (Santalaceae), an Endangered Endemic Species of Indonesia",2015,Sapto Indrioko,Procedia Environmental Sciences,I;F;G_offspring,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0113,W1517457476,10.1111/boj.12277,Clonality strongly affects the spatial genetic structure of the nurse speciesAechmea nudicaulis(L.) Griseb. (Bromeliaceae),2015,Roberta Loh,Botanical Journal of the Linnean Society,C;F;G_adult,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0114,W1592765186,10.1111/1442-1984.12078,Flowering phenology and mating success of the heterodichogamous tree Machilus thunbergii S ieb. et Z ucc ( L auraceae),2015,Shuntaro Watanabe,Plant Species Biology,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0115,W1788809553,10.1111/aec.12230,Offspring performance and recruitment of the pioneer tree A cacia caven( F abaceae) in a fragmented subtropical dry forest,2015,Lorena Ashworth,Austral Ecology,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0116,W1855146189,10.1371/journal.pone.0138989,Home Bodies and Wanderers: Sympatric Lineages of the Deep-Sea Black Coral Leiopathes glaberrima,2015,Dannise V. Ruiz‐Ramos,PLoS ONE,C;F;G_adult,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0117,W1936276863,10.1890/14-2275.1,The influence of habitat fragmentation on multiple plant–animal interactions and plant reproduction,2015,Lars Andrew Brudvig,Ecology,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0118,W1938460919,10.1111/boj.12336,Pollinator rarity as a threat to a plant with a specialized pollination system,2015,Ryan D. Phillips,Botanical Journal of the Linnean Society,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0119,W2032625415,10.1016/j.gecco.2015.04.005,Effects of forest fragmentation on the mating system of a cool-temperate heterodichogamous tree Acer mono,2015,Satoshi Kikuchi,Global Ecology and Conservation,I;C;F;G_adult,"I-F;C-F;G_adult-mean(I,F)",yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0120,W2038282357,10.1111/mec.13139,Genetic rescue of small inbred populations: meta‐analysis reveals large and consistent benefits of gene flow,2015,Richard Frankham,Molecular Ecology,C;F;G_adult,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0121,W2047360515,10.1086/679617,Species and Phylogenetic Heterogeneity in Visitation Affects Reproductive Success in an Island System,2015,Lorraine J. Adderley,International Journal of Plant Sciences,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0122,W2110333352,10.1111/gcb.13025,Meta‐analysis of anthropogenic habitat disturbance effects on animal‐mediated seed dispersal,2015,Francisco E. Fontúrbel,Global Change Biology,I;C;F,I-F;C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0123,W2118397838,10.1111/btp.12233,Movement Patterns of Frugivorous Birds Promote Functional Connectivity among Chaco Serrano Woodland Fragments in Argentina,2015,M. Celeste Díaz Vélez,Biotropica,C;F,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0124,W2134604137,10.15517/rbt.v63i2.14160,"Reproductive success of Cabralea canjerana (Meliaceae) in Atlantic forest fragments, Brazil",2015,Edivani Villaron Franceschinelli,Revista de Biología Tropical,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0125,W2135164473,10.1111/1365-2745.12472,Divergent effects of forest edges on host distribution and seed disperser activity influence mistletoe distribution and recruitment,2015,Ainhoa Magrach,Journal of Ecology,C;F,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0126,W2176464271,10.1093/aob/mcv170,Positive density-dependent reproduction regulated by local kinship and size in an understorey tropical tree,2015,Alfredo Romero Castilla,Annals of Botany,I;C;F,I-F;C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0127,W2187279102,10.1073/pnas.1517092112,Non-bee insects are important contributors to global crop pollination,2015,Romina Rader,Proceedings of the National Academy of Sciences,I;F;G_adult,"I-F;G_adult-mean(I,F)",yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0128,W2312633468,10.1093/aob/mcu256,A last stand in the Po valley: genetic structure and gene flow patterns in Ulmus minor and U. pumila,2015,Bruno Bertolasi,Annals of Botany,I;C;F;G_adult,"I-F;C-F;G_adult-mean(I,F)",yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0129,W2385684163,10.1093/aobpla/plw029,Population genetics of self-incompatibility in a clade of relict cliff-dwelling plant species,2015,José L. Silva,AoB Plants,I;C;F,I-F;C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0130,W2527115686,10.5091/plecevo.2015.914,– Reduced fecundity and genetic diversity in small populations of rewarding versus deceptive orchid species: a meta-analysis,2015,Pieter Gijbels,Plant Ecology and Evolution,I;C;F;G_adult,"I-F;C-F;G_adult-mean(I,F)",yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0131,W292138252,10.1371/journal.pone.0127745,Variable Gene Dispersal Conditions and Spatial Deforestation Patterns Can Interact to Affect Tropical Tree Conservation Outcomes,2015,Yamini Kashimshetty,PLoS ONE,I;C;F;G_offspring,I-F;C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0132,W1562100187,10.1111/boj.12229,Experimental evidence for specialized bird pollination in the endangered South African orchidSatyrium rhodanthumand analysis of associated floral traits,2014,Timotheüs van der Niet,Botanical Journal of the Linnean Society,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0133,W1567449455,10.26786/1920-7603(2014)3,A test of density-dependent pollination within three populations of endangered Pentachaeta lyonii,2014,Jocelyn R. Holt,Journal of Pollination Ecology,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0134,W1974845050,10.1111/plb.12142,Pollen limitation and pollinator preferences in Scorzonera hispanica,2014,Zita Červenková,Plant Biology,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0135,W2021387124,10.1371/journal.pone.0099295,Multilevel Spatial Structure Impacts on the Pollination Services of Comarum palustre (Rosaceae),2014,Laurent Somme,PLoS ONE,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0136,W2039614924,10.5586/aa.2014.022,The life-history traits influencing reproduction success and the recruitment of seedlings of Dianthus superbus L. in different stages of meadow overgrowing,2014,Kinga Kostrakiewicz-Gierałt,Acta Agrobotanica,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0137,W2057000539,10.1111/1365-2745.12262,"Both flowering time and distance to conspecific plants affect reproduction in Echinacea angustifolia, a common prairie perennial",2014,Jennifer L. Ison,Journal of Ecology,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0138,W2060200535,10.1371/journal.pone.0114344,Phenological Adaptations in Ficus tikoua Exhibit Convergence with Unrelated Extra-Tropical Fig Trees,2014,Tingting Zhao,PLoS ONE,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0139,W2062180159,10.1111/avsc.12135,Changes in the fruiting landscape relax restrictions on endozoochorous tree dispersal into deforested lands,2014,Daniel Martínez,Applied Vegetation Science,C;F,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0140,W2097821788,10.1139/cjb-2013-0197,Costs and benefits of the mixed-mating system ofNarcissus serotinus(Amaryllidaceae) in the conservation of small fragmented populations,2014,Isabel Marques,Botany,I;C;F;G_adult,"I-F;C-F;G_adult-mean(I,F)",yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0141,W2114972850,10.1186/s12862-014-0243-7,High lifetime inbreeding depression counteracts the reproductive assurance benefit of selfing in a mass-flowering shrub,2014,Chloé E. L. Delmas,BMC Evolutionary Biology,I;C;F;G_offspring,I-F;C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0142,W2139379083,10.1674/0003-0031-172.2.303,"Effects of Population Size, Forest Fragmentation, and Urbanization on Seed Production and Gene Flow in an Endangered Maple (Acer miyabei)",2014,Teruyoshi Nagamitsu,The American Midland Naturalist,I;C;F;G_adult,"I-F;C-F;G_adult-mean(I,F)",yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0143,W2145914229,10.1111/btp.12152,Spatial Pattern of Pindó Palm (Syagrus romanzoffiana) Recruitment in Argentinian Atlantic Forest: The Importance of Tapir and Effects of Defaunation,2014,Yanina Vanesa Sica,Biotropica,C;F,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0144,W2160839691,10.1111/1365-2664.12340,Diverse guilds provide complementary dispersal services in a woodland expansion process after land abandonment,2014,Gema Escribano‐Ávila,Journal of Applied Ecology,C;F,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0145,W2183603688,10.3732/ajb.1300065,Mating between Echinacea angustifolia (Asteraceae) individuals increases with their flowering synchrony and spatial proximity,2014,Jennifer L. Ison,American Journal of Botany,I;C;F;G_offspring,I-F;C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0146,W2318300307,10.3354/esr00645,Effects of fragmentation on density and population genetics of a threatened tree species in a biodiversity hotspot,2014,SM Ganzhorn,Endangered Species Research,C;F;G_adult,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0147,W1582099737,10.15517/rbt.v62i1.5854,"Éxito reproductivo y diversidad genética de Psychotria hastisepala (Rubiaceae), en un bosque fragmentado de una selva atlántica de Brasil.",2013,Celice Alexandre Silva,Revista de Biología Tropical,I;F;G_adult,"I-F;G_adult-mean(I,F)",yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0148,W1973912070,10.1111/plb.12039,Massive floral display affects insect visits but not pollinator‐mediated pollen transfer in R hododendron ferrugineum,2013,Chloé E. L. Delmas,Plant Biology,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0149,W1976706170,10.1007/s10530-013-0577-x,Reproductive performance of the invasive tree Ligustrum lucidum in a subtropical dry forest: does habitat fragmentation boost or limit invasion?,2013,Natalia Aguirre‐Acosta,Biological Invasions,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0150,W1979016063,10.1111/1365-2745.12150,Biological Flora of the British Isles: Pulmonaria officinalis,2013,Sofie Meeus,Journal of Ecology,C;F;G_adult,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0151,W2008071346,10.1111/mec.12194,Polyploidy and microsatellite variation in the relict tree P runus lusitanica L .: how effective are refugia in preserving genotypic diversity of clonal taxa?,2013,Carlos García‐Verdugo,Molecular Ecology,C;F;G_adult,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0152,W2059199592,10.1002/ece3.669,"Genetic structure and demographic history of the endangered tree species D ysoxylum malabaricum ( M eliaceae) in W estern G hats, I ndia: implications for conservation in a biodiversity hotspot",2013,Sofia Bodare,Ecology and Evolution,C;F;G_offspring,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0153,W2092137659,10.1007/s11284-013-1117-y,Can the pollination biology and floral ontogeny of the threatened Acacia carneorum explain its lack of reproductive success?,2013,Amy‐Marie Gilpin,Ecological Research,I;C;F,I-F;C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0154,W2104684729,10.3732/ajb.1200446,"New findings on the pollination biology of Mauritia flexuosa (Arecaceae) in Roraima, Brazil: Linking dioecy, wind, and habitat",2013,Roxaneh Khorsand Rosa,American Journal of Botany,I;C;F,I-F;C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0155,W2108561556,10.1111/1365-2745.12148,Decomposing recruitment limitation for an avian‐dispersed rain forest tree in an anciently fragmented landscape,2013,Mariela C. Núñez‐Ávila,Journal of Ecology,C;F;G_offspring,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0156,W2123053988,10.1098/rspb.2013.2667,Disentangling multiple drivers of pollination in a landscape-scale experiment,2013,Christof Schüepp,Proceedings of the Royal Society B Biological Sciences,I;F;G_adult,"I-F;G_adult-mean(I,F)",yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0157,W2130886760,10.3159/torrey-d-12-00046.1,Precautionary hand pollination suggests outbreeding depression between potential seed donor populations for a rare wetland plant1,2013,Paul M. Severns,The Journal of the Torrey Botanical Society,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0158,W2156250512,10.1371/journal.pone.0063421,Plant Pollinator Networks along a Gradient of Urbanisation,2013,Benoît Geslin,PLoS ONE,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0159,W2160706511,10.1111/1365-2435.12093,"Pollinators, mates and Allee effects: the importance of self‐pollination for fecundity in an invasive lily",2013,James G. Rodger,Functional Ecology,I;F;G_adult,"I-F;G_adult-mean(I,F)",yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0160,W2184486628,10.1093/aob/mct289,"Pollen limitation and reduced reproductive success are associated with local genetic effects in Prunus virginiana, a widely distributed self-incompatible shrub",2013,Adriana Suarez‐Gonzalez,Annals of Botany,I;C;F;G_adult,"I-F;C-F;G_adult-mean(I,F)",yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0161,W2334614853,10.1139/cjb-2012-0274,Rarity and reproductive biology: habitat specialists reveal a complex relationship,2013,Nicole E. Miller‐Struttmann,Botany,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0162,W1673731414,10.1111/j.1442-9993.2012.02417.x,Persistence of flower visitors and pollination services of a generalist tree in modified forests,2012,Eike Lena Neuschulz,Austral Ecology,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0163,W1981577377,10.4067/s0717-66432012000200008,"Pollination and breeding system in Adesmia bijuga Phil. (Fabaceae), a critically endangered species in Central Chile",2012,Persy Gómez P,Gayana. Botánica,I;C;F,I-F;C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0164,W2032058926,10.1890/11-1428.1,Causes and consequences of unequal seedling production in forest trees: a case study in red oaks,2012,Emily Moran,Ecology,C;F,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0165,W2038122684,10.1111/j.1756-1051.2012.01256.x,Reproduction of beetle‐pollinated Anaxagorea dolichocarpa (Annonaceae) is resilient to habitat disturbance in rainforest fragments,2012,Marcus P. Braun,Nordic Journal of Botany,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0166,W2083801265,10.1017/s0266467412000120,Reproductive success of Cardiopetalum calophyllum (Annonaceae) treelets in fragments of Brazilian savanna,2012,Marcos Antônio da Silva Elias,Journal of Tropical Ecology,I;F;G_adult,"I-F;G_adult-mean(I,F)",yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0167,W2107461283,10.1111/j.1365-2664.2012.02179.x,"Seed limitation during early forest succession in a rural landscape on C hiloé Island, C hile: implications for temperate forest restoration",2012,Marcela A. Bustamante‐Sánchez,Journal of Applied Ecology,C;F,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0168,W2107945011,10.1111/j.1095-8339.2012.01277.x,Genetic footprints of habitat fragmentation in the extant populations of Sinojackia (Styracaceae): implications for conservation,2012,Jinju Zhang,Botanical Journal of the Linnean Society,C;F;G_offspring,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
